column,operation,original_value,new_value,row_index,timestamp,cleaner_type
merchant_category,fallback_imputation,,Unknown,2,2025-10-16 15:52:24.300921,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,6,2025-10-16 15:52:24.300946,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,8,2025-10-16 15:52:24.300948,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,11,2025-10-16 15:52:24.300949,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,12,2025-10-16 15:52:24.300951,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,13,2025-10-16 15:52:24.300953,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,14,2025-10-16 15:52:24.300954,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,16,2025-10-16 15:52:24.300955,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,18,2025-10-16 15:52:24.300956,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,24,2025-10-16 15:52:24.300957,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,28,2025-10-16 15:52:24.300958,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,30,2025-10-16 15:52:24.300959,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,32,2025-10-16 15:52:24.300961,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,33,2025-10-16 15:52:24.300962,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,36,2025-10-16 15:52:24.300963,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,38,2025-10-16 15:52:24.300964,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,41,2025-10-16 15:52:24.300965,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,43,2025-10-16 15:52:24.300966,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,48,2025-10-16 15:52:24.300967,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,57,2025-10-16 15:52:24.300969,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,68,2025-10-16 15:52:24.300970,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,73,2025-10-16 15:52:24.300971,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,81,2025-10-16 15:52:24.300972,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,84,2025-10-16 15:52:24.300974,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,90,2025-10-16 15:52:24.300975,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,91,2025-10-16 15:52:24.300976,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,92,2025-10-16 15:52:24.300977,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,95,2025-10-16 15:52:24.300978,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,97,2025-10-16 15:52:24.300979,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,99,2025-10-16 15:52:24.300980,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,100,2025-10-16 15:52:24.300982,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,101,2025-10-16 15:52:24.300983,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,103,2025-10-16 15:52:24.300984,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,105,2025-10-16 15:52:24.300985,pytorch_encoder
merchant_category,fallback_imputation,,Unknown,116,2025-10-16 15:52:24.300986,pytorch_encoder
